Applicants Total,Applications Total
15085,10489
14632,10635
14804,10450
15278,10472
15326,10609
14302,9659
15535,9658
14398,9693
14848,9649
14703,9667
15462,9951
14947,9623
15423,9696
14635,9532
15610,10004
14944,9867
14292,10049
14380,10054
14324,10157
14391,10194
14462,10101
15482,9352
15806,9266
15176,9107
15740,9152
14564,9151
14808,9076
15299,9283
14449,9328
14889,9411
14587,9416
14702,9545
14320,9053
14380,9193
14799,9412
15093,9585
14661,9244
16633,10129
16348,9619
16354,9839
16865,9724
16968,9760
17019,9565
17586,9239
17385,9333
17548,9263
16242,9444
17207,9569
16353,9562
16514,9374
15907,9509
15781,9550
15127,9338
20700,10353
19814,10083
21207,9834
19947,9634
20936,9267
20642,9370
18721,9499
18128,9462
17776,9557
18735,10031
19837,9216
17828,9793
17381,9893
18623,9411
17018,9954
16976,10018
17853,10538
18992,10409
18458,10352
17936,10307
17787,10409
20103,10577
19938,10406
19084,10368
19784,10268
20071,10646
19753,10709
19757,10683
20175,10648
20443,10548
20756,10694
20736,10605
20190,10720
19824,10889
18967,11133
18908,11076
18909,11104
18574,11265
18964,11265
17971,10732
18107,10842
18299,10922
18207,10763
18500,10706
18134,10738
18598,10652
18476,10630
17920,10646
21845,9700
21960,10351
21982,10611
21809,10920
22310,10862
21364,10774
22136,9636
23388,10442
21999,10931
22188,10442
21442,10806
21054,10810
20495,10915
21892,11031
20322,10867
20112,10776
27822,11395
28101,11440
26987,11059
28041,10842
27757,11020
27248,10918
27513,11023
25726,10873
25798,11015
26512,11101
26911,10536
26666,10598
27747,10635
25488,10249
25899,10157
28197,9805
26512,11459
26147,11671
22396,11483
21985,11298
26372,11815
24923,11351
21985,11298
26247,12333
27419,12092
26242,12380
24889,11880
25326,11889
28232,12104
28331,11870
27932,11853
27295,11786
22999,13011
22354,12707
24557,12181
24530,12952
23506,11881
21376,12576
22900,12644
23799,12944
22694,12232
21905,12456
21392,12124
21737,12722
21755,12148
21945,11604
22337,12608
22142,11949
26451,12568
26548,13425
25790,13240
22733,13346
23946,13191
24988,13284
23432,13462
23720,13381
24165,13052
24887,13442
22221,13307
22613,13446
22616,13066
22147,13399
23093,13053
22731,12996
27479,14745
27679,14416
28143,14686
26790,14260
25914,14545
26409,14019
25438,14484
28269,13990
26980,13856
27676,14020
27247,12894
28434,12760
25884,12779
27107,12618
26164,12723
26340,12624
22574,15754
22969,15369
22863,15376
22476,15495
22502,15695
23096,15441
23988,15539
23964,15639
24735,15398
23242,15319
23591,15393
24191,15017
23342,15219
26249,15598
26001,15440
26037,15498
21755,14513
22520,15034
21991,14777
22550,14823
21495,15252
21689,14417
21873,14464
22532,15017
21555,15360
22400,14818
21352,14651
21439,15559
21909,15349
21613,15506
21550,15656
22317,15752
24871,13959
23429,14199
23709,14431
23311,14592
24423,14118
24744,14109
24540,14340
23629,14175
23439,14308
22648,14394
24537,14340
21390,14225
23010,14510
21715,14324
22760,14441
21394,14382
18939,14219
20191,14210
20006,14215
19628,14129
21053,14040
20699,13914
21263,14365
19702,13728
19810,13592
21330,13840
21539,13613
20828,13860
22461,14002
22935,13704
22349,13706
23409,13544
19160,13711
19533,13649
19260,13552
17938,13963
18059,14217
18122,13843
17970,13914
18163,14021
17883,14596
17918,14029
18732,14512
18768,14467
18515,14588
18980,14245
18785,14372
18872,14526
16125,13607
16539,13648
16337,13944
16455,13659
16521,14060
16145,13782
16769,13937
17051,13829
16701,13878
16989,13785
17466,13571
17107,13973
16886,13582
17384,13579
17583,13578
18482,13702
17133,14178
16549,14273
16958,14154
17038,14283
15767,14414
15555,13857
16525,14608
15371,13535
15166,14650
15015,13965
14538,13576
15155,14165
15401,13899
15198,14170
15109,13983
15538,13598
18103,14690
18122,14969
17416,14614
18639,15211
16830,15503
18637,15226
18470,15455
16158,15620
18072,15168
18993,15446
18556,14997
19430,15240
16848,14696
17220,14434
17499,14384
17533,14184
20765,15149
20744,15067
20657,14984
20711,14672
20594,14807
20314,14788
20677,14930
18420,14740
20366,14980
18256,14704
18987,15138
18948,14750
19370,14803
18939,15105
19414,15077
19255,15137
21100,15867
19766,15742
21000,15628
21107,15767
20742,15645
19824,15603
21263,15770
20934,15548
19966,15275
20096,15430
20203,15326
20623,15437
20971,15259
20888,15492
21304,15366
20486,15202
18399,15990
19557,15852
20923,16071
20457,15912
21106,15945
24092,15943
23324,15841
23305,15796
23314,16003
22365,15856
22782,15829
21359,15997
25822,16075
25155,15967
27798,15940
31613,16006
32913,15876
33254,16071
33497,15796
29339,13566
30393,13566
30118,13836
28845,13613
31362,14213
29220,13892
31440,15699
31820,15572
31280,15629
29965,14970
28886,16084
32335,15125
33922,15096
35313,14899
34070,14622
35043,14940
34999,14233
32747,13758
32136,14033
31944,14490
34010,13948
34146,13995
31022,14583
33714,13938
34636,13758
30291,14557
30350,14219
34444,15706
33565,15153
33281,15388
33099,15517
32876,15247
33968,15303
32589,15172
28512,12900
28662,13072
29182,12997
29966,13397
30616,13010
31792,13478
28628,13350
32528,12267
33420,12629
32139,13056
33467,13507
33003,12342
33855,13307
34281,11021
32377,9668
33627,10942
30638,10939
33270,11091
29194,11107
28510,10801
28587,11411
31489,11737
28907,11691
31030,11300
30300,11963
29326,11784
31613,12069
28547,12334
28518,12564
28984,8691
30122,7961
28901,8078
28956,9017
29933,9310
29289,8804
28454,9223
29061,9692
32974,9227
30758,9140
31143,9510
30840,9186
28935,10031
34889,9400
34061,9813
32854,9788
32006,8162
29211,5004
30256,7604
30528,7868
31497,7369
30529,7892
31332,8929
30529,8315
31021,8997
29486,8405
31084,8669
30080,8203
34371,6564
30926,5575
23105,5128
27559,5104
23747,5234
23115,8192
24538,7905
26257,8008
27277,8775
25380,8405
27867,7861
28437,7847
25884,8641
27178,8031
26642,7794
25013,6553
21432,6268
22741,6645
25369,6887
24828,5285
27528,6367
21109,6768
21756,7197
21591,7124
21543,7315
22124,7212
21433,6793
22652,7469
22288,7552
23223,7875
22171,7560
22807,8271
23583,7847
23225,7345
21733,8326
21469,8436
22972,8678
19344,7672
18180,7769
18706,7788
18418,7713
18142,7499
18416,7447
19170,7219
19391,7532
19430,7261
18297,7445
18151,6778
18289,7283
19032,7045
18602,6976
19842,7292
20260,7158
18862,8987
20331,8736
18551,8791
19733,8652
20642,8345
20402,8770
17846,8411
20156,8210
21050,8011
19740,8110
19972,7506
21123,7605
20324,7583
20608,7726
21230,7608
19811,7544
15120,8698
15153,8508
17229,8901
17208,8927
17099,8610
16242,8107
16018,8452
17029,8322
16045,8798
16518,7973
19505,8420
18423,7974
19069,8351
16642,7974
19335,7901
18524,8215
14504,8355
15101,8336
14659,8438
14305,8399
14566,8582
14742,8472
14238,8697
14909,8531
14361,8935
15122,8847
15637,8934
14333,8798
14330,8753
15582,9003
15704,8954
15880,8610
14413,7406
14535,7474
14509,7743
14942,7747
15381,8072
14936,7950
14645,8045
14559,8140
14641,7806
15366,7965
14778,8027
15061,8067
15345,8011
14980,7766
15719,8327
15183,8335
17699,7127
16926,7357
16126,7214
17752,7432
16578,7060
16206,7761
17545,7566
17272,7514
17039,7531
15705,7748
14985,7395
14739,7339
15834,7648
15561,7576
15163,7436
14339,7344
14442,7325
14901,6798
14365,6487
14247,6589
15398,6638
15080,7013
15222,6634
14730,6905
14532,6745
14899,7270
14966,7319
14693,7178
15119,6931
15270,6946
15394,6768
16815,6964
16033,5663
15287,5923
15725,5915
14583,5779
15231,5736
14970,6218
15204,5688
14655,6084
14683,6086
14511,6402
14979,5813
15782,6261
15124,6269
15863,6418
15419,6375
15802,6691
17421,6518
20903,6386
20946,6617
20639,6423
20789,6377
19058,6520
16672,6632
16502,6696
21255,6253
16150,6654
17428,6345
17485,6213
16258,5729
17244,6153
16735,5860
16190,5650
18699,5498
19152,5408
19924,5039
19768,5516
18455,5492
18984,5988
18027,5878
18225,5468
18453,5572
17912,6058
18722,5746
19473,5659
20672,6171
19864,6443
19843,6346
15496,5164
19863,4931
19325,5008
16527,5030
14961,5101
14382,5253
14503,5285
14952,5153
15138,5298
14921,5359
15256,5273
15337,5529
14644,5406
15426,5240
13889,5625
13868,5452
12892,5620
13993,5409
13465,5381
13071,5361
13841,5256
13726,5096
14153,5132
13884,5180
12687,4972
11221,5494
11464,5418
11311,5361
11846,5424
11518,5394
11607,5455
12325,5441
11750,5253
11687,5200
12040,5242
12184,5126
12338,5359
12309,5151
12351,5218
12819,5257
12562,5577
11022,5331
10937,5356
10681,5381
10804,5393
11032,5456
11000,5434
10885,5552
11060,5623
11053,5471
10878,5601
11055,5499
11421,5593
10960,5515
11427,5567
11290,5495
11256,5463
12348,5057
12284,4957
11407,5055
11078,5207
11207,5181
10331,5009
10172,4938
10188,4986
10247,5036
10468,5071
10326,5028
10351,5034
10594,5021
9393,4991
9209,4976
9201,4992
9528,5018
9209,4976
9591,5039
8750,5125
8686,5096
8725,5016
8789,4949
8847,5273
8732,5157
9459,5499
9759,5517
9456,5594
9262,5591
9305,5502
8930,5542
8931,5563
8983,5585
9056,5570
8625,5479
8882,5429
9628,5120
9114,5209
9214,5154
9283,5402
9259,5460
9044,5120
9311,5449
9303,5336
8939,5374
9300,5158
9079,5252
9211,5096
8997,5406
9151,5379
9678,5458
9521,5470
10252,5217
10342,5170
10261,5205
10341,5463
9901,5204
10241,5293
10245,5251
10339,5471
10436,5309
10525,5473
10513,5313
10487,5338
9468,5301
9386,5237
9643,5101
10111,5250
10124,5834
10215,5800
10635,5682
10017,5731
10443,5632
10428,5743
10338,5641
10606,5604
10367,5561
9817,5493
10536,5617
10192,5498
10263,5364
9911,5623
9949,5370
10412,5415
9862,6192
10040,6097
10151,6121
9958,6169
10098,6103
10566,6192
10217,6090
10098,6082
10252,5952
10226,6057
10112,6069
10597,5805
10618,5916
10256,5866
9938,5898
9979,5841
8935,6086
9184,6104
10022,5943
9015,6081
9268,6168
9390,5946
9587,5938
9768,6089
9455,5943
9755,6160
9873,5979
9932,5961
9679,6107
9357,6185
10191,6059
9992,6023
9313,5790
9126,5838
8892,5944
9062,5975
9243,5930
8983,5949
9122,6008
9009,5793
8922,5792
9315,6054
9313,6057
9159,6023
9315,6054
9186,6033
9074,6002
8969,6004
8898,5647
8976,5660
8984,5684
9019,5647
9634,5665
9641,5713
9728,5737
9660,5776
9608,5735
9417,5786
9394,5825
9652,5892
9518,5792
9503,5828
9767,5857
8615,5808
8654,5897
8696,5785
8870,5853
8835,5895
8613,5744
8631,5718
8706,6438
8789,6360
8712,6387
8806,6377
8788,5964
8650,6046
8747,6095
8778,6004
9175,6759
9242,6720
9367,6762
9189,6636
9118,6632
8700,6667
8697,6744
8748,6717
8843,6749
9038,6682
8640,6536
8785,6536
8854,6695
9105,6617
9254,6585
9002,6518
9068,6537
9166,6519
9337,6683
9550,6593
9730,6574
9550,6593
9544,6743
9431,6616
9479,6766
9429,6569
9366,6641
9457,6709
9353,6740
9519,6389
9623,6402
9641,6414
9523,6361
9635,6326
9731,6384
9682,6379
9461,6272
8902,6366
9199,6246
8960,6511
9202,6284
9540,6301
9405,6289
9474,6318
9179,6213
10326,6481
10629,6316
10554,6260
9964,6401
9834,6348
10208,6381
10025,6379
10631,6220
10245,6290
10509,6227
10258,6248
9998,6392
10159,6459
9353,6473
9365,6467
9517,6437
10743,6614
10742,6493
10679,6706
10986,6728
10661,6634
9832,6736
10134,6752
10350,6662
9991,6704
10284,6700
10432,6616
9984,6647
10462,6502
10332,6483
9938,6514
10183,6640
11472,6209
11727,6292
12141,6227
12060,6375
12117,6387
12157,6365
11569,6590
11985,6363
11201,6744
12035,6751
11432,6721
11100,6607
11523,6747
12319,6716
10877,6534
11154,6756
11217,6031
11308,6043
10902,6171
10812,6144
11048,6197
11352,6135
11184,6061
10689,6070
11261,6073
10840,6350
10679,6405
10936,6418
10915,6352
11281,6415
11383,6474
11402,6361
11744,5964
11913,5975
11633,5945
10875,5673
11687,5762
10715,5842
10877,5915
11423,5645
11825,5778
11251,5797
11586,5779
12347,5937
11909,5708
10820,5954
10897,6023
10901,6030
14161,5690
13289,5881
13726,5755
12507,5883
12517,6010
12574,5706
13235,5694
12911,6132
13167,5855
12898,6130
13098,6079
13019,6072
12255,6083
11833,6132
12080,6125
11817,6192
12868,6567
12656,6559
13128,6402
12603,6457
13133,6532
12992,6360
12739,6520
12656,6559
13250,6482
12661,6228
12704,6300
13469,6332
13753,6092
13376,6427
13858,5985
14042,6030
13506,7276
13690,7245
13625,6785
13424,6922
13867,6590
13495,6976
13966,6973
13547,6944
14088,7210
13670,6504
13473,6825
13760,6661
13288,6748
13615,6667
12858,6738
12632,6722
11863,6824
11669,7041
12081,6999
12029,6973
12081,6955
11787,6830
13282,7173
13112,6976
12557,6895
12821,6927
13287,7031
12585,7130
13675,7067
13291,7108
13342,7263
13414,7192
11382,7008
11444,6976
11200,6939
11237,6909
11096,6983
11314,6892
11321,6857
11055,6795
11218,6794
10929,6999
10913,7020
10767,6995
10975,6883
11088,6811
11361,6851
11720,6790
11346,7322
11315,7200
11165,7237
11410,7288
11081,7250
11191,7254
11205,7224
10804,7108
11181,7129
11238,7055
10777,7152
11030,7065
11216,7119
11428,7141
11423,7188
11382,7108
11946,7354
11435,7349
11467,7405
11646,7529
12152,7551
11997,7389
11765,7452
12252,7415
12423,7270
12114,7294
11951,7079
11689,7126
12353,7051
11603,7284
12239,7137
11911,7304
10733,7711
10766,7646
10718,7622
10907,7632
11181,7696
11137,7745
11442,7739
11350,7612
11457,7681
11232,7604
10814,7600
11209,7489
10671,7431
10862,7348
11220,7459
11373,7418
12664,7509
12592,7750
12783,7641
12858,7643
13189,7634
13182,7655
11866,7648
11522,7797
11083,7703
11223,7762
11929,7632
11338,7861
11677,7767
12248,7744
12066,7651
10729,7740
14012,7801
13604,7891
13776,7802
14157,7698
13427,7779
14085,7428
13170,7539
13718,7413
13808,7337
12735,7428
14198,7605
13890,7592
14176,7479
12462,7430
12624,7408
12464,7536
12772,8269
13039,8224
12664,8187
12727,8340
12883,8219
12942,8313
12446,8120
12838,7934
12604,8127
12959,8006
13020,8010
13454,7998
13117,8034
13773,8110
13940,8075
13970,7914
13464,8527
13653,8463
13506,8463
13679,8524
14019,8468
13998,8487
13867,8449
13934,8507
13863,8266
14215,8323
13623,8284
13608,8244
13259,8319
12528,8394
12909,8346
12462,8328
12741,8756
12558,8768
12686,8625
12667,8677
13202,9020
13832,8889
13813,8963
13804,8916
14114,8711
13715,8787
13973,8719
13732,8691
13431,8653
13389,8626
13435,8631
13545,8598
11851,8666
11600,8733
11596,8600
12289,8736
12078,8622
11605,8489
12183,8500
12230,8510
13085,8546
13064,8475
13326,8579
12360,8512
12306,8570
12995,8663
13083,8684
13012,8500
11524,8786
11330,8876
11397,8964
11897,8773
11120,8757
11879,8794
11693,8863
11791,8965
12195,8966
12212,8938
12234,8892
12002,8934
11795,8995
11567,8931
12187,8754
12333,8784
10883,8455
10985,8587
10735,8498
10909,8479
11179,8722
10720,8633
10789,8712
10667,8602
11245,8690
10851,8602
10991,8841
11091,8834
10748,8826
10991,8949
11145,9021
10896,8883
12019,7933
11990,8401
12434,8418
11865,8293
11423,8178
11631,8328
10689,8366
11604,8068
11863,8339
11193,8425
10957,8414
10987,8273
11714,8180
12139,8027
12130,7957
11064,8411
10910,7909
10888,7911
10947,8033
10718,8135
10666,8035
10791,8162
10993,8139
10702,8158
11086,8149
11246,8065
11393,7941
11509,8092
11239,8034
11280,7896
11509,7900
11732,7958
9526,7974
10148,7932
9644,7986
10163,7934
10009,7994
10180,8004
9978,8000
9914,8099
9938,8099
9872,8003
10162,8169
10426,8176
10297,8050
10251,8072
10336,7906
10507,7896
8957,8303
8943,8186
9531,8402
9566,8451
9359,8222
9248,8190
9137,8227
9187,8027
9158,7924
9397,8117
9252,8211
9510,7904
9545,7941
9117,7958
9427,7924
9453,7944
10540,8483
10432,8761
10519,8743
10296,8691
10180,8591
9996,8500
9953,8735
10380,8843
10623,8356
10284,8320
10426,8744
9795,8592
10454,8208
10068,8303
10249,8255
9933,8183
9721,8557
9638,8661
9672,8610
9250,8992
9052,8757
9177,8699
10062,8871
9610,8840
9587,8744
9880,8973
9918,8762
10231,8854
9213,8667
9695,9003
9178,8712
10043,8819
8685,8112
8754,8293
8657,8414
9367,8476
8741,7556
8758,7513
8786,7372
8832,7408
8672,7445
8876,7455
9412,7638
9037,7662
9038,7626
9743,7690
9145,7718
9275,7652
9683,7657
9292,7764
9147,7875
9285,7852
8988,7637
8944,7699
9053,7875
9082,7809
9913,7726
9945,7651
10210,7662
10361,7631
10310,7613
10661,7631
10573,7642
10315,7770
10201,7833
10604,7832
10502,7836
10098,7770
9515,7830
9829,7790
9791,7799
9345,7805
9055,7447
9161,7502
8909,7463
9195,7608
9418,7380
10404,7550
10443,7493
10114,7540
10002,7480
10542,7511
9597,7532
10582,7366
10232,7416
9926,7361
9724,7425
10169,7567
9404,7266
9626,7264
9638,7188
9639,7170
9751,7083
9683,7093
9083,7118
9663,7088
8954,7056
9468,7150
9226,7105
8936,7208
9330,7236
9137,7217
9021,7305
9006,7282
10258,7083
10635,7314
10504,7160
10473,7086
10538,7314
10352,7315
10112,7224
10049,7256
10215,7215
9776,7222
10232,7303
10084,7316
9851,7318
9934,7302
9991,7322
9968,7296
9845,6888
9841,6880
10548,6836
10073,6811
10418,6889
10329,6852
10272,6941
10206,7033
10164,7048
10070,6912
9943,7003
10103,6917
9978,7137
9902,7147
10028,7167
10212,7049
8972,6925
8914,6947
9106,6980
9145,6927
9097,7031
8946,7026
9619,6990
9747,6870
9886,6774
9727,7004
9851,6798
9335,6896
9735,6953
9685,6943
9786,6832
9783,6865
8849,6876
9087,6818
9123,6811
9261,6848
9218,6851
9283,6860
8974,6924
8851,7277
8640,7270
8804,6941
8668,7174
8696,7079
8656,7058
